id,title,description,availability,condition,price,link,image_link
product-7585618296878," Ishaya Abscond 50ML","Timeless Flora opens with a luminous blend of peony, mandarin, and citrus that feels fresh yet effortlessly elegant. At its heart, rose and osmanthus bloom with soft femininity, while sandalwood, pink pepper, and patchouli leave behind a graceful trail of warmth and sophistication. A floral fragranc...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-abscond-50ml,https://cdn.sanity.io/images/92sib1op/production/4fb87ba71aa0c368e92b5df1e7bc21f3da2bc6fa-1536x1024.png
product-7585618362414,"Ishaya Wild Berry 50ML","Rooted in the rich perfume traditions of the Middle East, Farahat opens with a bold accord of saffron, nutmeg, and lavender, where spice meets an unexpected softness. Oud and patchouli deepen the journey at the heart, casting an air of mystery and quiet strength. A warm, lasting finish of musk ancho...",out of stock,new,510 INR,https://ishayaluxury.com/product/ishaya-wild-berry-50ml,https://cdn.sanity.io/images/92sib1op/production/3f9503bd417b075aadd654d758aa968da43ae95f-1254x1254.png
product-7589365383214,"Ishaya Exotic Move 50ML","Discover pure serenity with our ‘Pure Musk’ perfume, a fragrance crafted to bring peace to your soul. Crisp Aldehydes and delicate Lily of the Valley bloom in the top notes, evoking a sense of beauty and purity. As you sink deeper, the calming heart of sandalwood and powdery accords offer a moment o...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-exotic-move-50ml,https://cdn.sanity.io/images/92sib1op/production/061c4603e4502b633b8d60c852563d734398ecf5-1254x1254.png
product-7589365415982,"Ishaya Midnight Addiction 30ML","#Evening wear.
#Date nights.
#Parties & special occasions.
#Women/Men who love Warm and Inviting, Spicy Kick also Soft and Sensual Fragrance.

An irresistible blend of sparkling juicy pear and warm amber vanilla creates a vibrant opening, leading into a captivating heart of luminous orange blossom, rich black coffee, and elegant white florals. As the fragrance unfolds, it reveals a warm, sensual trail that is bold, addictive, and effortlessly sophisticated. Long-lasting and unforgettable, this fragrance is the perfect companion for evening wear, special occasions, and the cooler seasons.
",out of stock,new,411 INR,https://ishayaluxury.com/product/ishaya-midnight-addiction-30ml,https://cdn.sanity.io/images/92sib1op/production/e00f14114dff5424ac7bf085af7272ed3978b1c7-1254x1254.png
product-7589365448750,"Ishaya Luxe Millionaire 50ML","CEO Woman Perfume is a handpicked fragrance for women who like facing challenges heads on. Its captivating scent not only makes you the talk of the town but also fills your senses with the confidence to seize the day. 🌻 The hint of musk and earthy notes of leather, tonka and vanilla make this fragr...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-luxe-millionaire-50ml,https://cdn.sanity.io/images/92sib1op/production/d2996fa4c8b10c287f157e35074a2ff00f993d4a-1254x1254.png
product-7589365481518,"Ishaya Midnight Addiction 50ML","Unleash your fire with Beast. The first spritz teases the senses with a bold contrast, sweet, juicy raspberry meets smoky birch and crisp geranium, creating a thrilling first impression. Then, the heart pulses with fiery saffron, rugged leather, and earthy patchouli, adding layers of warmth and inte...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-midnight-addiction-50ml,https://cdn.sanity.io/images/92sib1op/production/d0b080c9bc175e0efb7c6a33dcb599e08d71b8ce-1254x1254.png
product-7589365547054,"Ishaya Exotic Move 30ML","Own the night with Ghost. A bold spark of citrus and green spice ignites your senses, setting the stage for an alluring presence. As the fragrance unfolds, caramel melts into delicate jasmine and violet, adding a touch of mystery. Finally, the deep warmth of ambery cedarwood, rugged leather, and sof...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-exotic-move-30ml,https://cdn.sanity.io/images/92sib1op/production/e8bcc231c63352e22057aa2d7a0dbd56bd6cc328-1254x1254.png
product-7589365579822,"Ishaya Explore Beyond 30ML","A dresser-essential for a modern woman who likes to take a road less travelled. Step into an unconventional world with an Eau De Parfum that is glamorous, classy and magnetic. Enjoy an indulgent fragrance that is sensual and so full of character that it is almost impossible to miss! 🌺 Be a head-tur...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-explore-beyond-30ml,https://cdn.sanity.io/images/92sib1op/production/7da2f1d50df18138ba06c6ed65cbc845d1a0ed6e-1254x1254.png
product-7589365612590,"Ishaya Aqua Edge 30ML","Freshness meets confidence with Dynamite. A rush of zesty lemon, juicy mandarin, and bright bergamot bursts through the air, instantly lifting your spirits. As the scent settles, the crisp elegance of cedarwood and jasmine takes over, adding a refined touch. Beneath it all, a wave of musk, moss, and...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-aqua-edge-30ml,https://cdn.sanity.io/images/92sib1op/production/03adb2f3de8d9e1528e4273d002855f09eb7bfb3-1254x1254.png
product-7589365645358,"Ishaya Cocoa Vanilla 30ML","Experience the bold allure of ‘Narco’ perfume, a scent that promises to leave an unforgettable impression. It opens with a refreshing burst of bergamot, like a crisp breeze awakening your senses. The heart reveals an intriguing blend of jasmine, orange, and sweet pea, crafting a unique floral sweetn...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-cocoa-vanilla-30ml,https://cdn.sanity.io/images/92sib1op/production/feb6e685c23e38717427647b42aaef393e04b491-1254x1254.png
product-7185138745390,"Ishaya Gentle Pride 50ML","#Everyday wear.
#Office.
#Evening outings.
#All seasons.


A vibrant, classic, and refined fragrance that perfectly balances masculinity with elegance. It opens with fresh aromatic notes, leading into a heart accented by delicate daffodil, and settles into a warm, sensual blend of black vanilla and rich patchouli. A budget-friendly fresh fougère fragrance, crafted for everyday wear, making it an ideal choice for gifting and wearing it on any occasion.",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-gentle-pride-50ml,https://cdn.sanity.io/images/92sib1op/production/cdd3584f726e83c85544fd91b7d6b8108dc74c91-1254x1254.png
product-7589365678126," Ishaya Luxe Millionaire 30ML","Step into Harley Quinn’s world of chaos and charm. This perfume opens with a daring mix of apple, liquor, mandarin, and red fruits that spark instant intrigue. At its heart, jasmine, orange blossom, and rose strike with fearless flair, while amber, moss, patchouli, and vanilla create a deep, lasting...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-luxe-millionaire-30ml,https://cdn.sanity.io/images/92sib1op/production/2ff8fbab6a90bbe249631ab9896b03b3eae6db96-1254x1254.png
product-7589365710894,"Ishaya Champion 7 - 50ML","The Pisces sign is a dreamer, deeply intuitive and imaginative. This citrus-floral fragrance opens with a blend of lemon, clary sage, blackcurrant, cardamom, and bergamot, reflecting Pisces’s gentle and creative nature. The heart blossoms with floral notes of freesia, jasmine, rose, violet, and orri...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-champion-7-50ml,https://cdn.sanity.io/images/92sib1op/production/ec619e3d659cdf939ef1de215e9d206f5c7b10b4-1254x1254.png
product-7589365743662,"Ishaya Freshness Rush 50ML ","The Aquarius sign is forward-thinking, inventive, and full of curiosity. This citrus-spicy fragrance opens with bright notes of apple, bergamot, cardamom, lavandin, and pink pepper, representing Aquarius' innovative and unconventional nature. The heart reveals aqueous and floral tones of lily of the...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-freshness-rush-50ml,https://cdn.sanity.io/images/92sib1op/production/a5120c0db24150586a17981772e60bf5091e2c8f-1254x1254.png
product-7589365776430," Ishaya Blossom Love 50ML","The Virgo sign is meticulous and strives for perfection. This citrus-spicy fragrance opens with crisp notes of aldehydic, bergamot, ginger, and grapefruit, capturing Virgo’s attention to detail. The heart reveals ambery and woody tones of cashmere and lavender, reflecting the sign’s calm and organis...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-blossom-love-50ml,https://cdn.sanity.io/images/92sib1op/production/feb6e685c23e38717427647b42aaef393e04b491-1254x1254.png
product-7589365809198,"Ishaya Champion 7 - 30ML","The Libra sign is all about balance, harmony, and beauty. This spicy-citrus fragrance opens with soft, sweet notes of mandarin and sage, reflecting the sign’s love for peace and elegance. The heart reveals a blend of floral tones with ambergris, lavender, and caramel, capturing Libra’s friendly and ...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-champion-7-30ml,https://cdn.sanity.io/images/92sib1op/production/c570c93b18e7be6a84aaa3b526b43454d3cf858c-1254x1254.png
product-7589365841966,"Ishaya Gentle Pride 30ML","The Aries sign is bold, energetic, and full of passion. This oriental-woody fragrance ignites with the intense notes of incense, oriental tones, and oud, capturing Aries' adventurous spirit. The heart unfolds with floral and woody notes, adding depth to Aries' dynamic nature. The base of ambery, lea...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-gentle-pride-30ml,https://cdn.sanity.io/images/92sib1op/production/62b98e0a103d84d3c0f2284597ad199de2f18127-1254x1254.png
product-7589365874734,"Ishaya Blossom Love 30 ML ","#Everyday wear.
#Date nights.
#Spring & summer.
#Anyone who loves sweet, floral, and sophisticated perfumes.

Blossom Love is a sparkling of juicy fruits and delicate florals unfolds into an elegant heart of fresh rose, pink pepper, and lily. The fragrance settles into a soft, comforting base of cedarwood with creamy raspberry and powdery iris nuances, creating a beautiful everyday floral-fruity scent that's feminine, fresh, and effortlessly charming.",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-blossom-love-30-ml,https://cdn.sanity.io/images/92sib1op/production/d0b080c9bc175e0efb7c6a33dcb599e08d71b8ce-1254x1254.png
product-7589365907502,"WhiteMoon Oud 30 ML","#Everyday luxury.#Light wear.#Festive occasions.#Unisex.#All seasons.

A graceful fusion of fresh citrus and delicate white florals opens into a luxurious heart of rose, jasmine, and soft spices. The fragrance settles into an elegant base of smooth white oud, creamy sandalwood, amber, and white musk, creating a refined scent that is warm, sophisticated, and beautifully long-lasting. Perfect for those who appreciate the richness of oud with a soft, modern touch. An affordable, popular everyday choice.

",in stock,new,411 INR,https://ishayaluxury.com/product/whitemoon-oud-30-ml,https://cdn.sanity.io/images/92sib1op/production/02c138d8e4dfd8139cd443d675af8fb94052c26e-1254x1254.png
product-7589365940270,"Ishaya Royal Oud Noir 30ML","The Sagittarius sign is free-spirited and always on a quest for new experiences. This fruity-woody fragrance begins with the brightness of red fruits and the warmth of rose and saffron, reflecting Sagittarius’ vibrant and adventurous nature. The heart introduces gourmand notes of chocolate, leather,...",in stock,new,411 INR,https://ishayaluxury.com/product/sagittarius-perfume-100ml-shiprocket,https://cdn.sanity.io/images/92sib1op/production/e646dba58928a40fbb36033e870be70cf8fbafba-1254x1254.png
product-7589365973038,"Ishaya Golden Aura 50ML","Indulge your senses and transform every day into a captivating, glamorous, “who’s that girl” avatar with our ‘Hot &amp; Classy’ perfume combo. This enchanting duo of perfumes is meticulously crafted for the modern woman who exudes elegance, shows class in her every move, and is always turning heads ...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-golden-aura-50ml,https://cdn.sanity.io/images/92sib1op/production/4ef846d390bc0ee8dc8f6902a21319e21969cadd-1254x1254.png
product-7589366005806,"Ishaya White Moon Oud 50ML","Gemini is all about versatility and dynamic energy. This citrus-spicy fragrance opens with the freshness of bergamot and the lively spice of cardamom and incense, capturing Gemini’s lively and curious nature. The heart blends herbal and aromatic notes of geranium, clary sage, and lavender, reflectin...",in stock,new,510 INR,https://ishayaluxury.com/product/ishaya-white-moon-oud-50ml,https://cdn.sanity.io/images/92sib1op/production/683e041e1b74ed7d3f453f8e556c6237d71c8919-1254x1254.png
product-7589366038574," Ishaya Wild Berry 30ML","The Aquaman perfume is a tribute to power and depth. It opens with mandarin, nutmeg, and lavendin that flow with fresh energy. The heart notes of lily of the valley and geranium reflect balance and calm. Tonka, patchouli, and moss create a deep, lasting base that embodies resilience and strength. Bo...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-wild-berry-30ml,https://cdn.sanity.io/images/92sib1op/production/b2be5082bd59a3b04160d7ff1110425eb8d44f11-1254x1254.png
product-7589366071342,"Ishaya Golden Aura 30ML","The Batman perfume is a journey into darkness and strength. It opens with clary sage, fig, and orange, sparking a sharp, commanding presence. At its heart, ambery, lavender, and cedarwood balance power with refined calm. Musk, tonka, vanilla, vetiver, and patchouli form a deep, lasting base that emb...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-golden-aura-30ml,https://cdn.sanity.io/images/92sib1op/production/128686fdeb94c45599162cea616c41df2155e7d2-1254x1254.png
product-7589366136878,"Ishaya Hidden Guilt 30ML","The Leo sign is confident, bold, and loves to be in the spotlight. This spicy-oriental fragrance opens with warm, spicy cinnamon, clove, and saffron notes, reflecting Leo’s charismatic and fiery nature. The heart reveals ambery and woody tones with carnation and cedarwood, capturing Leo’s luxurious ...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-hidden-guilt-30ml,https://cdn.sanity.io/images/92sib1op/production/055e70a5560309b80e9e77d5b110e1faf04f6fea-1254x1254.png
product-7589366169646,"Ishaya Crystal Bloom 30ML","The Cancer sign is deeply emotional, caring, and intuitive. This floral-woody fragrance begins with gentle notes of lily of the valley and apple, reflecting Cancer’s nurturing nature. The heart unfolds with floral and fruity tones of osmanthus, passionfruit, and jasmine, capturing the sign’s sensiti...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-crystal-bloom-30ml,https://cdn.sanity.io/images/92sib1op/production/c570c93b18e7be6a84aaa3b526b43454d3cf858c-1254x1254.png
product-7589366202414,"Ishaya True Way 30ML","Enter into a magical world of luxury with the Luxury Experience Set. A set of 4 luxurious perfumes, experience the cool breezy vibe of Ocean Man, the intense dominance of CEO Man Intense, the richness of Oud GOLD, and the waves of B.L.U. Man. Packaged luxuriously, this set is perfect for a hands-on ...",in stock,new,411 INR,https://ishayaluxury.com/product/ishaya-true-way,https://cdn.sanity.io/images/92sib1op/production/91021b75346616c071bb95257fb9dba09f30b0a5-1254x1254.png
